trade_date,available_cash,pending_cash,total_cash,market_value,total_value,pos_count,action,stops
2021-01-04,18340.59,0.0,18340.59,10285884.95,10304225.53,5,rebalance,0
2021-01-05,18340.59,0.0,18340.59,10667957.91,10686298.49,5,mtm_only,0
2021-01-06,18340.59,0.0,18340.59,10859034.93,10877375.52,5,mtm_only,0
2021-01-07,18340.59,0.0,18340.59,11010031.02,11028371.61,5,mtm_only,0
2021-01-08,18340.59,0.0,18340.59,11351975.09,11370315.68,5,mtm_only,0
2021-01-11,18340.59,1843033.55,1861374.13,9913678.87,11775053.01,4,rebalance,1
2021-01-12,1861374.13,0.0,1861374.13,10718180.87,12579555.0,4,mtm_only,0
2021-01-13,1861374.13,0.0,1861374.13,11642884.95,13504259.09,4,mtm_only,0
2021-01-14,1861374.13,0.0,1861374.13,11906975.12,13768349.25,4,mtm_only,0
2021-01-15,1861374.13,0.0,1861374.13,12288289.84,14149663.98,4,mtm_only,0
2021-01-18,1018.21,0.0,1018.21,14854985.3,14856003.51,5,rebalance,0
2021-01-19,1018.21,2117297.57,2118315.79,13225488.03,15343803.81,4,mtm_only,1
2021-01-20,2118315.79,0.0,2118315.79,14028031.18,16146346.97,4,mtm_only,0
2021-01-21,2118315.79,0.0,2118315.79,14882185.11,17000500.9,4,mtm_only,0
2021-01-22,2118315.79,0.0,2118315.79,15729703.67,17848019.46,4,mtm_only,0
2021-01-25,1572.02,0.0,1572.02,18275655.15,18277227.18,5,rebalance,0
2021-01-26,1572.02,0.0,1572.02,18447615.61,18449187.63,5,mtm_only,0
2021-01-27,1572.02,8728261.15,8729833.17,8523047.02,17252880.19,4,mtm_only,1
2021-01-28,8729833.17,0.0,8729833.17,8491556.93,17221390.1,4,mtm_only,0
2021-01-29,8729833.17,1861058.1,10590891.28,6371518.97,16962410.25,3,mtm_only,1
2021-02-01,1793.44,0.0,1793.44,16820497.94,16822291.37,5,rebalance,0
2021-02-02,1793.44,0.0,1793.44,16844977.2,16846770.63,5,mtm_only,0
2021-02-03,1793.44,0.0,1793.44,16802906.06,16804699.5,5,mtm_only,0
2021-02-04,1793.44,4860876.22,4862669.66,11514245.16,16376914.82,4,mtm_only,1
