trade_date,available_cash,pending_cash,total_cash,market_value,total_value,pos_count,action,stops
2021-01-04,593631.76,0.0,593631.76,9605945.01,10199576.77,19,rebalance,0
2021-01-05,593631.76,436082.48,1029714.24,9208201.95,10237916.18,18,mtm_only,1
2021-01-06,1029714.24,925959.96,1955674.2,8278946.94,10234621.14,16,mtm_only,2
2021-01-07,1955674.2,448216.69,2403890.89,7832434.0,10236324.9,15,mtm_only,1
2021-01-08,2403890.89,0.0,2403890.89,7915906.99,10319797.88,15,mtm_only,0
2021-01-11,509991.45,909938.83,1419930.28,9165941.0,10585871.28,17,rebalance,2
2021-01-12,1419930.28,462046.7,1881976.98,8757148.02,10639125.0,16,mtm_only,1
2021-01-13,1881976.98,0.0,1881976.98,9112033.05,10994010.03,16,mtm_only,0
2021-01-14,1881976.98,0.0,1881976.98,9346119.03,11228096.01,16,mtm_only,0
2021-01-15,1881976.98,0.0,1881976.98,9549832.94,11431809.92,16,mtm_only,0
2021-01-18,1414469.86,0.0,1414469.86,10237217.09,11651686.95,17,rebalance,0
2021-01-19,1414469.86,616128.19,2030598.05,9797956.08,11828554.13,16,mtm_only,1
2021-01-20,2030598.05,0.0,2030598.05,10241312.94,12271910.98,16,mtm_only,0
2021-01-21,2030598.05,0.0,2030598.05,10416111.01,12446709.06,16,mtm_only,0
2021-01-22,2030598.05,0.0,2030598.05,10649790.94,12680388.98,16,mtm_only,0
2021-01-25,509539.8,522919.48,1032459.28,11778482.06,12810941.34,18,rebalance,1
2021-01-26,1032459.28,0.0,1032459.28,11750967.94,12783427.22,18,mtm_only,0
2021-01-27,1032459.28,2178061.5,3210520.78,9298979.02,12509499.79,17,mtm_only,1
2021-01-28,3210520.78,1504058.62,4714579.4,7636329.01,12350908.41,14,mtm_only,3
2021-01-29,4714579.4,906710.04,5621289.44,6681178.91,12302468.35,12,mtm_only,2
2021-02-01,717896.83,559719.6,1277616.42,11068158.08,12345774.5,18,rebalance,1
2021-02-02,1277616.42,0.0,1277616.42,11410463.91,12688080.33,18,mtm_only,0
2021-02-03,1277616.42,470208.08,1747824.5,10987568.98,12735393.49,17,mtm_only,1
2021-02-04,1747824.5,1088956.84,2836781.34,9854334.03,12691115.38,15,mtm_only,2
2021-02-05,2836781.34,1041956.99,3878738.33,8760097.93,12638836.27,13,mtm_only,2
2021-02-08,602244.46,445739.91,1047984.37,11653534.95,12701519.32,18,rebalance,1
2021-02-09,1047984.37,0.0,1047984.37,12172570.02,13220554.39,18,mtm_only,0
2021-02-10,1047984.37,0.0,1047984.37,12146107.94,13194092.31,18,mtm_only,0
2021-02-18,7003.53,1819522.06,1826525.59,11245625.02,13072150.61,18,rebalance,2
2021-02-19,1826525.59,1284382.53,3110908.12,9953753.04,13064661.16,16,mtm_only,2
2021-02-22,816501.56,2673913.22,3490414.78,9279029.11,12769443.89,15,rebalance,4
2021-02-23,3490414.78,1010259.25,4500674.03,8213574.97,12714249.0,13,mtm_only,2
2021-02-24,4500674.03,705246.21,5205920.24,7477851.05,12683771.29,12,mtm_only,1
2021-02-25,5205920.24,0.0,5205920.24,7379214.95,12585135.2,12,mtm_only,0
2021-02-26,5205920.24,0.0,5205920.24,7325898.94,12531819.18,12,mtm_only,0
2021-03-01,676677.48,0.0,676677.48,11966426.98,12643104.46,19,rebalance,0
2021-03-02,676677.48,594682.09,1271359.58,11350220.96,12621580.54,18,mtm_only,1
2021-03-03,1271359.58,0.0,1271359.58,11430656.91,12702016.49,18,mtm_only,0
2021-03-04,1271359.58,0.0,1271359.58,11218431.97,12489791.54,18,mtm_only,0
2021-03-05,1271359.58,1189499.99,2460859.56,10084918.98,12545778.54,16,mtm_only,2
2021-03-08,17308.38,4421500.94,4438809.32,7625869.0,12064678.32,12,rebalance,8
2021-03-09,4438809.32,1173854.37,5612663.68,6188789.07,11801452.76,10,mtm_only,2
2021-03-10,5612663.68,1184610.34,6797274.02,4944029.97,11741303.99,8,mtm_only,2
2021-03-11,6797274.02,0.0,6797274.02,5007501.01,11804775.03,8,mtm_only,0
2021-03-12,6797274.02,563008.32,7360282.33,4415683.08,11775965.41,7,mtm_only,1
2021-03-15,54320.77,507551.5,561872.27,11008213.09,11570085.36,19,rebalance,1
