bucket,mean_ret,hit,bad,gt30,n,scheme
bottom20%,0.023230279,0.45745276414614144,0.5404718975333386,0.08704457580341024,204870,baseline_no_weight
middle60%,0.03933602,0.502493086696532,0.49497417205422706,0.08787939329524906,613116,baseline_no_weight
top1%,0.14139047,0.5285314498933902,0.47072228144989336,0.18383084577114425,9289,baseline_no_weight
top10%,0.05925126,0.5317534292559707,0.46640314524700643,0.11741906570166587,51168,baseline_no_weight
top20%,0.05196001,0.5240971483953821,0.47355417226834307,0.10604478267360501,102253,baseline_no_weight
top5%,0.07436521,0.5397947749115714,0.4587901063787828,0.14131518384580968,41051,baseline_no_weight
bottom20%,0.02351215,0.4746902401889393,0.5222993102195842,0.07179933069081941,204872,top10pct_weight_3x
middle60%,0.038471498,0.5011645205656191,0.4964837344906866,0.08883056895951766,613101,top10pct_weight_3x
top1%,0.14941935,0.5509772565742714,0.44838308457711445,0.19991115849324803,9292,top10pct_weight_3x
top10%,0.06405665,0.5175214315676393,0.4807855288936809,0.13669689699244925,51165,top10pct_weight_3x
top20%,0.054818872,0.5128699819877217,0.4854703782263971,0.11839332033603457,102268,top10pct_weight_3x
top5%,0.07098948,0.514427356591515,0.48420872838760975,0.14468855524057303,41049,top10pct_weight_3x
bottom20%,0.024178758,0.4692627454891338,0.5279318184395871,0.0769777545867667,204879,top20pct_weight_2x
middle60%,0.03841043,0.5022997206667675,0.4952977384347741,0.0882514947797796,613107,top20pct_weight_2x
top1%,0.14482677,0.5485074626865671,0.44978678038379527,0.18366204690831556,9291,top20pct_weight_2x
top10%,0.060712617,0.5175026345626134,0.4810720288480674,0.12737365266569092,51168,top20pct_weight_2x
top20%,0.055692974,0.5150902233139267,0.48299281890819223,0.11678835580145958,102253,top20pct_weight_2x
top5%,0.07159075,0.5195454813997442,0.4793714697277424,0.14685771485875354,41049,top20pct_weight_2x
bottom20%,0.024683269,0.47696502400973034,0.5200128157477181,0.07330566161846266,204876,top10pct_3x_top20pct_2x
middle60%,0.038132206,0.5006501303150621,0.4969983440692301,0.0888082457324809,613110,top10pct_3x_top20pct_2x
top1%,0.14897639,0.5367937100213219,0.46214019189765454,0.18879708599857853,9289,top10pct_3x_top20pct_2x
top10%,0.06436577,0.5169623588507305,0.48130072758942727,0.13193594118713106,51165,top10pct_3x_top20pct_2x
top20%,0.05391552,0.5099895214314265,0.4884259136432586,0.11612744713489678,102256,top10pct_3x_top20pct_2x
top5%,0.07227263,0.5219609974201155,0.47669351105411906,0.15166012370545703,41051,top10pct_3x_top20pct_2x
