bucket,mean_ret,hit,bad,gt30,n,scheme
bottom20%,0.114469275,0.6096776729559747,0.3886006289308176,0.17320754716981132,6390,baseline_no_weight
middle60%,0.092811875,0.5571609439359652,0.4397569743425012,0.13378146303359742,19134,baseline_no_weight
top1%,0.1421971,0.6330357142857143,0.36696428571428574,0.19642857142857142,286,baseline_no_weight
top10%,0.14831042,0.67,0.32999999999999996,0.21437499999999998,1600,baseline_no_weight
top20%,0.13325807,0.6349564873417721,0.3634731012658228,0.17654272151898734,3195,baseline_no_weight
top5%,0.19744137,0.6390625,0.36015625,0.24453125,1280,baseline_no_weight
bottom20%,0.09876532,0.5653527908805032,0.4316735455974842,0.1534502751572327,6390,top10pct_weight_3x
middle60%,0.09472218,0.5711644729905333,0.42606736474889406,0.13358338482815077,19134,top10pct_weight_3x
top1%,0.2392638,0.740625,0.259375,0.28482142857142856,286,top10pct_weight_3x
top10%,0.14276582,0.64625,0.3525,0.21812499999999999,1600,top10pct_weight_3x
top20%,0.1624156,0.6600276898734176,0.3396598101265823,0.22263844936708863,3195,top10pct_weight_3x
top5%,0.16008012,0.59375,0.40546875,0.20703125,1280,top10pct_weight_3x
bottom20%,0.09954971,0.5766381682389937,0.4207006682389937,0.16004225628930818,6390,top20pct_weight_2x
middle60%,0.0932248,0.5645225950633794,0.4329181214994122,0.13112444277736382,19134,top20pct_weight_2x
top1%,0.17000198,0.7017857142857142,0.2982142857142857,0.22678571428571428,286,top20pct_weight_2x
top10%,0.20511027,0.718125,0.27999999999999997,0.27937500000000004,1600,top20pct_weight_2x
top20%,0.13719615,0.6412341772151898,0.3568908227848101,0.19375,3195,top20pct_weight_2x
top5%,0.17904755,0.60234375,0.396875,0.21953125,1280,top20pct_weight_2x
bottom20%,0.10886077,0.5888305817610063,0.4081957547169811,0.1631505503144654,6390,top10pct_3x_top20pct_2x
middle60%,0.094974115,0.5689697692384601,0.4283659075994997,0.1354575172494362,19134,top10pct_3x_top20pct_2x
top1%,0.26215497,0.7339285714285715,0.26607142857142857,0.29910714285714285,286,top10pct_3x_top20pct_2x
top10%,0.14287713,0.628125,0.37,0.20875,1600,top10pct_3x_top20pct_2x
top20%,0.13606463,0.6217840189873417,0.3775909810126582,0.19063291139240507,3195,top10pct_3x_top20pct_2x
top5%,0.16628161,0.62890625,0.3703125,0.21875,1280,top10pct_3x_top20pct_2x
