scheme,k,mean_ret,median_ret,hit_rate,bad_rate,gt10,gt20,gt30,worst,best,n
baseline_no_weight,20,0.1848024,0.0702917,0.64875,0.35125,0.4325,0.3025,0.22,-0.22373742,2.1330001,800
baseline_no_weight,50,0.1735647,0.07627505,0.6355,0.364,0.456,0.326,0.2275,-0.30287933,2.5228014,2000
baseline_no_weight,100,0.16469999,0.08444393,0.65725,0.34225,0.471,0.33475,0.224,-0.37776107,2.5228014,4000
top10pct_weight_3x,20,0.19466855,0.07428938,0.655,0.345,0.45125,0.32875,0.2525,-0.24073428,2.1330001,800
top10pct_weight_3x,50,0.16474347,0.063281,0.6175,0.382,0.4365,0.3045,0.216,-0.2944196,2.5228014,2000
top10pct_weight_3x,100,0.15796283,0.070730865,0.63575,0.3635,0.44925,0.3275,0.21725,-0.37776107,2.5228014,4000
top20pct_weight_2x,20,0.21951592,0.07219881,0.66625,0.33375,0.445,0.31375,0.2425,-0.23669916,2.5228014,800
top20pct_weight_2x,50,0.18738627,0.08318442,0.655,0.3445,0.468,0.336,0.2365,-0.30570048,2.5228014,2000
top20pct_weight_2x,100,0.18124458,0.09008598,0.66675,0.33225,0.48225,0.3515,0.23925,-0.37776107,2.5228014,4000
top10pct_3x_top20pct_2x,20,0.23663475,0.08127099,0.685,0.315,0.46375,0.33125,0.26125,-0.23669916,2.5228014,800
top10pct_3x_top20pct_2x,50,0.17090823,0.07428938,0.635,0.3645,0.4525,0.323,0.224,-0.37776107,2.5228014,2000
top10pct_3x_top20pct_2x,100,0.1563088,0.070311606,0.6345,0.3645,0.449,0.322,0.2155,-0.37776107,2.5228014,4000
