scheme,k,mean_ret,median_ret,hit_rate,bad_rate,gt10,gt20,gt30,worst,best,n
baseline_no_weight,20,0.1017942,0.020686686,0.5417537313432835,0.45723880597014926,0.3594776119402985,0.2408582089552239,0.15914179104477613,-0.62743104,17.730227,26800
baseline_no_weight,50,0.07980154,0.01620704,0.5344029850746269,0.4641044776119403,0.34382089552238804,0.22071641791044777,0.14283582089552238,-0.62743104,17.730227,67000
baseline_no_weight,100,0.06793194,0.014403522,0.5325074626865671,0.46586567164179105,0.3298134328358209,0.2031044776119403,0.12738805970149253,-0.62743104,17.730227,134000
top10pct_weight_3x,20,0.10054593,0.013384938,0.5267910447761194,0.4721641791044776,0.3571268656716418,0.24287313432835822,0.16742537313432837,-0.62743104,17.730227,26800
top10pct_weight_3x,50,0.080008976,0.00918287,0.5191641791044777,0.4795671641791045,0.3460597014925373,0.22770149253731342,0.1501641791044776,-0.62743104,17.730227,67000
top10pct_weight_3x,100,0.07038213,0.007874608,0.5171343283582089,0.48144029850746267,0.3348134328358209,0.21641044776119403,0.14083582089552238,-0.62743104,17.730227,134000
top20pct_weight_2x,20,0.10243606,0.0155751705,0.5307462686567164,0.46794776119402987,0.3618283582089552,0.24735074626865672,0.16619402985074627,-0.62743104,17.730227,26800
top20pct_weight_2x,50,0.07850726,0.010893643,0.5230746268656716,0.4756268656716418,0.3438358208955224,0.22452238805970148,0.146955223880597,-0.62743104,17.730227,67000
top20pct_weight_2x,100,0.06871786,0.009198964,0.5204850746268657,0.4780597014925373,0.33275373134328357,0.21115671641791045,0.13566417910447762,-0.62743104,17.730227,134000
top10pct_3x_top20pct_2x,20,0.099006295,0.011764884,0.5239925373134329,0.47488805970149256,0.35201492537313434,0.2398507462686567,0.1639179104477612,-0.62743104,17.730227,26800
top10pct_3x_top20pct_2x,50,0.08142563,0.0114322305,0.5235820895522388,0.4751044776119403,0.34744776119402987,0.22995522388059703,0.1536865671641791,-0.62743104,17.730227,67000
top10pct_3x_top20pct_2x,100,0.07088324,0.00899297,0.5198208955223881,0.47857462686567165,0.3346865671641791,0.2155,0.1396268656716418,-0.62743104,17.730227,134000
