period,topk,mean_ret,median_ret,hit_rate,bad_rate,good_rate_30,big_win_rate_60,worst_ret,best_ret,n,top_industry
2024-01,20,0.412569,0.14905459,0.75,0.25,0.4,0.4,-0.21041411,1.6106474,20,26.0
2024-01,50,0.38461986,0.16659999,0.72,0.28,0.38,0.34,-0.23828024,1.6106474,50,26.0
2024-01,100,0.37314752,0.1563232,0.69,0.31,0.36,0.3,-0.23828024,2.806356,100,26.0
2024-02,20,0.90451384,0.3438499,0.9,0.1,0.6,0.35,-0.1262579,3.7977529,20,24.0
2024-02,50,0.84143525,0.40416127,0.92,0.08,0.66,0.36,-0.1262579,3.978572,50,24.0
2024-02,100,1.0315843,0.4533667,0.89,0.11,0.64,0.42,-0.17652577,4.4609375,100,24.0
2024-03,20,0.6206788,0.22735715,0.85,0.15,0.45,0.25,-0.15186691,2.59486,20,24.0
2024-03,50,0.46121934,0.19220382,0.84,0.16,0.38,0.18,-0.15186691,2.6548333,50,24.0
2024-03,100,0.4229705,0.17398942,0.84,0.16,0.34,0.15,-0.16134703,2.901157,100,24.0
2024-04,20,0.7419199,0.39642072,0.85,0.15,0.6,0.4,-0.19447201,2.249792,20,24.0
2024-04,50,0.8091131,0.44745404,0.8,0.2,0.6,0.44,-0.19989926,2.3749478,50,24.0
2024-04,100,0.7978053,0.35905737,0.8,0.2,0.56,0.42,-0.23949677,2.7172182,100,24.0
2024-05,20,0.5671425,0.2515769,0.75,0.25,0.4,0.25,-0.17137218,3.6834269,20,26.0
2024-05,50,0.8273188,0.25537485,0.72,0.28,0.42,0.28,-0.19692093,6.6779656,50,24.0
2024-05,100,0.9391446,0.28715307,0.77,0.23,0.45,0.31,-0.19922072,6.704767,100,24.0
2024-06,20,0.4706246,0.25859928,1.0,0.0,0.45,0.35,0.10229528,1.6800432,20,24.0
2024-06,50,0.4624575,0.22961652,0.94,0.06,0.4,0.34,-0.09381074,1.6800432,50,24.0
2024-06,100,0.7703606,0.25491083,0.92,0.08,0.45,0.37,-0.09381074,6.428163,100,24.0
2024-07,20,0.9379362,0.35376793,1.0,0.0,0.55,0.35,0.10699582,5.221323,20,24.0
2024-07,50,1.0301368,0.44480133,1.0,0.0,0.6,0.4,0.10699582,5.341861,50,24.0
2024-07,100,1.0091089,0.37820238,1.0,0.0,0.6,0.38,0.07466173,5.341861,100,24.0
2024-08,20,0.99228656,0.5374648,0.8,0.2,0.55,0.5,-0.12949789,5.3743253,20,62.0
2024-08,50,1.0347909,0.6251251,0.86,0.14,0.66,0.52,-0.158642,5.3743253,50,62.0
2024-08,100,1.0811763,0.62163395,0.86,0.14,0.67,0.52,-0.17090201,5.552144,100,62.0
2024-09,20,0.8701655,0.6201622,1.0,0.0,0.75,0.6,0.06403732,4.1224656,20,94.0
2024-09,50,1.260082,0.813988,1.0,0.0,0.76,0.68,0.06403732,4.587097,50,26.0
2024-09,100,1.1145731,0.75537825,0.99,0.01,0.73,0.65,-0.20169526,4.587097,100,26.0
2024-10,20,1.711921,0.508455,0.95,0.05,0.7,0.5,-0.06561941,4.8285365,20,52.0
2024-10,50,0.9205644,0.19358832,0.82,0.18,0.42,0.28,-0.20161283,4.8285365,50,65.0
2024-10,100,0.5433928,0.07359421,0.7,0.3,0.29,0.22,-0.24275225,4.8285365,100,65.0
2024-11,20,0.86518943,0.3788855,0.85,0.15,0.6,0.3,-0.12845498,4.575441,20,24.0
2024-11,50,0.56420875,0.12009299,0.82,0.18,0.44,0.22,-0.12845498,4.575441,50,24.0
2024-11,100,0.38331237,0.0919078,0.75,0.25,0.34,0.17,-0.19596392,4.575441,100,24.0
2024-12,20,0.6639833,0.44647777,1.0,0.0,0.6,0.35,0.042219758,1.8399594,20,24.0
2024-12,50,0.48216572,0.324947,0.92,0.08,0.54,0.22,-0.0404588,1.9081945,50,59.0
2024-12,100,0.4295156,0.25779653,0.9,0.1,0.47,0.19,-0.097272396,1.9081945,100,59.0
2025-01,20,0.5747488,0.5561953,1.0,0.0,0.85,0.3,0.07024789,1.4244368,20,22.0
2025-01,50,0.49375272,0.4840631,1.0,0.0,0.78,0.24,0.07024789,1.4244368,50,22.0
2025-01,100,0.45916533,0.4684432,1.0,0.0,0.67,0.25,0.023936033,1.4244368,100,24.0
2025-02,20,0.33844635,0.38834655,1.0,0.0,0.65,0.05,0.026612997,0.64716125,20,22.0
2025-02,50,0.30350628,0.35382634,1.0,0.0,0.56,0.02,0.026612997,0.64716125,50,22.0
2025-02,100,0.27964485,0.2625205,0.98,0.02,0.46,0.04,-0.034615397,1.3947861,100,79.0
2025-03,20,0.36229816,0.39281404,0.75,0.25,0.6,0.2,-0.090538085,0.9705471,20,94.0
2025-03,50,0.2575197,0.25258976,0.8,0.2,0.38,0.1,-0.13483149,0.9705471,50,79.0
2025-03,100,0.23949185,0.26145124,0.8,0.2,0.42,0.07,-0.13483149,0.9705471,100,79.0
2025-04,20,0.46714678,0.4091224,1.0,0.0,0.6,0.25,0.026928663,1.2034976,20,94.0
2025-04,50,0.63438755,0.41617292,0.96,0.04,0.6,0.4,-0.048309147,2.6144946,50,94.0
2025-04,100,0.77189165,0.5198149,0.95,0.05,0.64,0.47,-0.098816276,2.9086592,100,94.0
2025-05,20,0.5319368,0.40723133,0.75,0.25,0.55,0.35,-0.07028049,1.6655636,20,75.0
2025-05,50,0.578993,0.4749046,0.76,0.24,0.56,0.38,-0.13180518,2.097059,50,75.0
2025-05,100,0.5620051,0.4692651,0.79,0.21,0.58,0.38,-0.13180518,2.097059,100,75.0
2025-06,20,0.14320204,0.05159083,0.5,0.5,0.25,0.05,-0.22773999,1.90383,20,94.0
2025-06,50,0.10299067,0.04506585,0.5,0.5,0.2,0.02,-0.22773999,1.90383,50,94.0
2025-06,100,0.17125492,0.103033066,0.53,0.47,0.21,0.07,-0.23059088,2.1140993,100,94.0
2025-07,20,0.29025736,0.10797119,0.65,0.35,0.2,0.2,-0.1983056,1.7744274,20,94.0
2025-07,50,0.31213015,0.096366584,0.68,0.32,0.24,0.22,-0.1983056,2.2247198,50,94.0
2025-07,100,0.26905492,0.096366584,0.64,0.36,0.22,0.21,-0.30695558,2.2247198,100,94.0
2025-08,20,0.28887522,-0.019637436,0.45,0.55,0.2,0.15,-0.27677017,3.5500813,20,94.0
2025-08,50,0.18128724,-0.018699974,0.48,0.52,0.2,0.1,-0.29880923,3.5500813,50,94.0
2025-08,100,0.2105411,0.01750356,0.52,0.48,0.19,0.13,-0.33749723,3.5773196,100,94.0
