year,topk,mean_ret,median_ret,hit_rate,bad_rate,good_rate_30,big_win_rate_60,worst_ret,best_ret,n,top_industry
2021,20,-0.013345289,-0.30803525,0.3,0.7,0.25,0.2,-0.49063152,1.4713459,20,26.0
2021,50,-0.0070521724,-0.17498586,0.34,0.66,0.24,0.16,-0.49475545,1.4713459,50,26.0
2021,100,-0.009304941,-0.16308591,0.33,0.67,0.22,0.14,-0.49586093,1.5534475,100,26.0
2022,20,0.26580152,0.060524642,0.7,0.3,0.35,0.15,-0.33399338,1.9516397,20,75.0
2022,50,0.2408032,0.11511779,0.68,0.32,0.38,0.16,-0.4684329,1.9516397,50,62.0
2022,100,0.2265768,0.0807696,0.66,0.34,0.32,0.15,-0.4684329,3.6484609,100,62.0
2023,20,0.028037872,-0.08123317,0.4,0.6,0.15,0.1,-0.45908237,0.8363732,20,75.0
2023,50,-0.027522292,-0.07786545,0.36,0.64,0.06,0.04,-0.45908237,0.8363732,50,75.0
2023,100,-0.04687705,-0.076791584,0.32,0.68,0.04,0.03,-0.45908237,0.8363732,100,75.0
2024,20,0.55449355,0.24869502,0.9,0.1,0.4,0.3,-0.17137218,3.6834269,20,24.0
2024,50,0.5296851,0.25537485,0.88,0.12,0.46,0.34,-0.17137218,3.6834269,50,24.0
2024,100,0.59715104,0.25285065,0.9,0.1,0.44,0.33,-0.1853745,5.221323,100,24.0
2025,20,0.30005065,0.0035096705,0.5,0.5,0.2,0.15,-0.27677017,3.5500813,20,94.0
2025,50,0.163027,-0.018699974,0.48,0.52,0.2,0.1,-0.29880923,3.5500813,50,94.0
2025,100,0.21896024,0.01750356,0.52,0.48,0.2,0.14,-0.33749723,3.5773196,100,94.0
