signal_date,execution_date,account_name,intent_id,symbol,side,amount,price,est_value,score,score_rank,weight,target_value,current_value,diff_value,execution_bucket,cash_dependency,t1_rule,plan_role,status,note,artifact_source
2026-03-20,2026-03-23,shadow,2026-03-23:shadow:buy:000338.SZ,000338.SZ,buy,8500,23.36000061035156,198560.00518798828,0.5107082810972707,4,0.2,200000.0,0.0,200000.0,review,review,review,target_portfolio_delta,planned,,daily/2026-03-23/pre_open/order_intents/order_intents_2026-03-23_shadow.json
2026-03-20,2026-03-23,shadow,2026-03-23:shadow:buy:002001.SZ,002001.SZ,buy,5800,34.25,198650.0,0.4564776620637907,5,0.2,200000.0,0.0,200000.0,review,review,review,target_portfolio_delta,planned,,daily/2026-03-23/pre_open/order_intents/order_intents_2026-03-23_shadow.json
2026-03-20,2026-03-23,shadow,2026-03-23:shadow:buy:002493.SZ,002493.SZ,buy,17600,11.3100004196167,199056.0073852539,0.6996671055859273,2,0.2,200000.0,0.0,200000.0,review,review,review,target_portfolio_delta,planned,,daily/2026-03-23/pre_open/order_intents/order_intents_2026-03-23_shadow.json
2026-03-20,2026-03-23,shadow,2026-03-23:shadow:buy:300394.SZ,300394.SZ,buy,600,312.0,187200.0,0.527267614508523,3,0.2,200000.0,0.0,200000.0,review,review,review,target_portfolio_delta,planned,,daily/2026-03-23/pre_open/order_intents/order_intents_2026-03-23_shadow.json
2026-03-20,2026-03-23,shadow,2026-03-23:shadow:buy:600176.SH,600176.SH,buy,8800,22.64999961853028,199319.9966430664,0.8100469337897813,1,0.2,200000.0,0.0,200000.0,review,review,review,target_portfolio_delta,planned,,daily/2026-03-23/pre_open/order_intents/order_intents_2026-03-23_shadow.json
2026-03-23,2026-03-24,shadow,2026-03-24:shadow:buy:000301.SZ,000301.SZ,buy,19500,10.220000267028809,199290.00520706177,0.5039481249969756,4,0.2,199941.03283944703,0.0,199941.03283944703,review,review,review,target_portfolio_delta,planned,,daily/2026-03-24/pre_open/order_intents/order_intents_2026-03-24_shadow.json
2026-03-23,2026-03-24,shadow,2026-03-24:shadow:buy:000338.SZ,000338.SZ,buy,300,22.540000915527344,6762.000274658203,0.5650092037942077,2,0.2,199941.03283944703,191590.0077819824,8351.025057464605,review,review,review,target_portfolio_delta,planned,,daily/2026-03-24/pre_open/order_intents/order_intents_2026-03-24_shadow.json
2026-03-23,2026-03-24,shadow,2026-03-24:shadow:buy:600219.SH,600219.SH,buy,34700,5.760000228881836,199872.0079421997,0.5164274571471508,3,0.2,199941.03283944703,0.0,199941.03283944703,review,review,review,target_portfolio_delta,planned,,daily/2026-03-24/pre_open/order_intents/order_intents_2026-03-24_shadow.json
2026-03-24,2026-03-25,shadow,2026-03-25:shadow:buy:000630.SZ,000630.SZ,buy,34100,5.809999942779541,198120.99804878235,0.4833139837464148,5,0.2,198546.62763822937,0.0,198546.62763822937,review,review,review,target_portfolio_delta,planned,,daily/2026-03-25/pre_open/order_intents/order_intents_2026-03-25_shadow.json
2026-03-24,2026-03-25,shadow,2026-03-25:shadow:buy:600219.SH,600219.SH,buy,33700,5.880000114440918,198156.0038566589,0.5006717555466855,4,0.2,198546.62763822937,0.0,198546.62763822937,review,review,review,target_portfolio_delta,planned,,daily/2026-03-25/pre_open/order_intents/order_intents_2026-03-25_shadow.json
2026-03-24,2026-03-25,shadow,2026-03-25:shadow:buy:600346.SH,600346.SH,buy,9700,20.290000915527344,196813.00888061523,0.5085660673773579,3,0.2,198546.62763822937,0.0,198546.62763822937,review,review,review,target_portfolio_delta,planned,,daily/2026-03-25/pre_open/order_intents/order_intents_2026-03-25_shadow.json
2026-03-25,2026-03-26,shadow,2026-03-26:shadow:buy:000630.SZ,000630.SZ,buy,33500,5.909999847412109,197984.9948883057,0.5907763220132821,2,0.2,198546.62763822937,0.0,198546.62763822937,review,review,review,target_portfolio_delta,planned,,daily/2026-03-26/pre_open/order_intents/order_intents_2026-03-26_shadow.json
2026-03-25,2026-03-26,shadow,2026-03-26:shadow:buy:600219.SH,600219.SH,buy,32700,6.059999942779541,198161.998128891,0.5699562023310322,4,0.2,198546.62763822937,0.0,198546.62763822937,review,review,review,target_portfolio_delta,planned,,daily/2026-03-26/pre_open/order_intents/order_intents_2026-03-26_shadow.json
2026-03-25,2026-03-26,shadow,2026-03-26:shadow:buy:600489.SH,600489.SH,buy,7700,25.520000457763672,196504.00352478027,0.5092586814453429,5,0.2,198546.62763822937,0.0,198546.62763822937,review,review,review,target_portfolio_delta,planned,,daily/2026-03-26/pre_open/order_intents/order_intents_2026-03-26_shadow.json
2026-03-25,2026-03-26,shadow,2026-03-26:shadow:buy:600893.SH,600893.SH,buy,4000,49.58000183105469,198320.00732421875,0.667156427847869,1,0.2,198546.62763822937,0.0,198546.62763822937,review,review,review,target_portfolio_delta,planned,,daily/2026-03-26/pre_open/order_intents/order_intents_2026-03-26_shadow.json
2026-03-25,2026-03-26,shadow,2026-03-26:shadow:sell:002493.SZ,002493.SZ,sell,900,11.949999809265137,10754.999828338625,0.5766125944306164,3,0.2,198546.62763822937,210319.9966430664,-11773.369004837034,review,review,review,target_portfolio_delta,planned,,daily/2026-03-26/pre_open/order_intents/order_intents_2026-03-26_shadow.json
2026-03-26,2026-03-27,shadow,2026-03-27:shadow:buy:000630.SZ,000630.SZ,buy,34700,5.78000020980835,200566.00728034973,0.7070780796933106,4,0.2,200796.6291898365,0.0,200796.6291898365,review,review,review,target_portfolio_delta,planned,,daily/2026-03-27/pre_open/order_intents/order_intents_2026-03-27_shadow.json
2026-03-26,2026-03-27,shadow,2026-03-27:shadow:buy:600219.SH,600219.SH,buy,33400,6.0,200400.0,0.921543024552504,1,0.2,200796.6291898365,0.0,200796.6291898365,review,review,review,target_portfolio_delta,planned,,daily/2026-03-27/pre_open/order_intents/order_intents_2026-03-27_shadow.json
2026-03-26,2026-03-27,shadow,2026-03-27:shadow:buy:600893.SH,600893.SH,buy,4100,48.0,196800.0,0.7908671943977367,2,0.2,200796.6291898365,0.0,200796.6291898365,review,review,review,target_portfolio_delta,planned,,daily/2026-03-27/pre_open/order_intents/order_intents_2026-03-27_shadow.json
