ts_code,trade_date,field,stored,reconstructed,abs_diff,match
300750.SZ,20260424,roe,0.059731,0.059731,0.0,True
300750.SZ,20260427,roe,0.059731,0.059731,0.0,True
300750.SZ,20260428,roe,0.059731,0.059731,0.0,True
300750.SZ,20260429,roe,0.059731,0.059731,0.0,True
300750.SZ,20260430,roe,0.059731,0.059731,0.0,True
300750.SZ,20260424,grossprofit_margin,0.248156,0.248156,0.0,True
300750.SZ,20260427,grossprofit_margin,0.248156,0.248156,0.0,True
300750.SZ,20260428,grossprofit_margin,0.248156,0.248156,0.0,True
300750.SZ,20260429,grossprofit_margin,0.248156,0.248156,0.0,True
300750.SZ,20260430,grossprofit_margin,0.248156,0.248156,0.0,True
300750.SZ,20260424,debt_to_assets,0.623223,0.623223,0.0,True
300750.SZ,20260427,debt_to_assets,0.623223,0.623223,0.0,True
300750.SZ,20260428,debt_to_assets,0.623223,0.623223,0.0,True
300750.SZ,20260429,debt_to_assets,0.623223,0.623223,0.0,True
300750.SZ,20260430,debt_to_assets,0.623223,0.623223,0.0,True
300750.SZ,20260424,current_ratio,1.5956,1.5956,0.0,True
300750.SZ,20260427,current_ratio,1.5956,1.5956,0.0,True
300750.SZ,20260428,current_ratio,1.5956,1.5956,0.0,True
300750.SZ,20260429,current_ratio,1.5956,1.5956,0.0,True
300750.SZ,20260430,current_ratio,1.5956,1.5956,0.0,True
300750.SZ,20260424,net_income,22737254000.0,22737254000.0,0.0,True
300750.SZ,20260427,net_income,22737254000.0,22737254000.0,0.0,True
300750.SZ,20260428,net_income,22737254000.0,22737254000.0,0.0,True
300750.SZ,20260429,net_income,22737254000.0,22737254000.0,0.0,True
300750.SZ,20260430,net_income,22737254000.0,22737254000.0,0.0,True
300750.SZ,20260424,revenue,129131041000.0,129131041000.0,0.0,True
300750.SZ,20260427,revenue,129131041000.0,129131041000.0,0.0,True
300750.SZ,20260428,revenue,129131041000.0,129131041000.0,0.0,True
300750.SZ,20260429,revenue,129131041000.0,129131041000.0,0.0,True
300750.SZ,20260430,revenue,129131041000.0,129131041000.0,0.0,True
300750.SZ,20260424,total_assets,1046329036000.0,1046329036000.0,0.0,True
300750.SZ,20260427,total_assets,1046329036000.0,1046329036000.0,0.0,True
300750.SZ,20260428,total_assets,1046329036000.0,1046329036000.0,0.0,True
300750.SZ,20260429,total_assets,1046329036000.0,1046329036000.0,0.0,True
300750.SZ,20260430,total_assets,1046329036000.0,1046329036000.0,0.0,True
300750.SZ,20260424,equity,357262588000.0,357262588000.0,0.0,True
300750.SZ,20260427,equity,357262588000.0,357262588000.0,0.0,True
300750.SZ,20260428,equity,357262588000.0,357262588000.0,0.0,True
300750.SZ,20260429,equity,357262588000.0,357262588000.0,0.0,True
300750.SZ,20260430,equity,357262588000.0,357262588000.0,0.0,True
300750.SZ,20260424,op_cashflow,33680852000.0,33680852000.0,0.0,True
300750.SZ,20260427,op_cashflow,33680852000.0,33680852000.0,0.0,True
300750.SZ,20260428,op_cashflow,33680852000.0,33680852000.0,0.0,True
300750.SZ,20260429,op_cashflow,33680852000.0,33680852000.0,0.0,True
300750.SZ,20260430,op_cashflow,33680852000.0,33680852000.0,0.0,True
300308.SZ,20260424,roe,0.17549499999999998,0.17549499999999998,0.0,True
300308.SZ,20260427,roe,0.17549499999999998,0.17549499999999998,0.0,True
300308.SZ,20260428,roe,0.17549499999999998,0.17549499999999998,0.0,True
300308.SZ,20260429,roe,0.17549499999999998,0.17549499999999998,0.0,True
300308.SZ,20260430,roe,0.17549499999999998,0.17549499999999998,0.0,True
300308.SZ,20260424,grossprofit_margin,0.460581,0.460581,0.0,True
300308.SZ,20260427,grossprofit_margin,0.460581,0.460581,0.0,True
300308.SZ,20260428,grossprofit_margin,0.460581,0.460581,0.0,True
300308.SZ,20260429,grossprofit_margin,0.460581,0.460581,0.0,True
300308.SZ,20260430,grossprofit_margin,0.460581,0.460581,0.0,True
300308.SZ,20260424,debt_to_assets,0.32636200000000004,0.32636200000000004,0.0,True
300308.SZ,20260427,debt_to_assets,0.32636200000000004,0.32636200000000004,0.0,True
300308.SZ,20260428,debt_to_assets,0.32636200000000004,0.32636200000000004,0.0,True
300308.SZ,20260429,debt_to_assets,0.32636200000000004,0.32636200000000004,0.0,True
300308.SZ,20260430,debt_to_assets,0.32636200000000004,0.32636200000000004,0.0,True
300308.SZ,20260424,current_ratio,2.4613,2.4613,0.0,True
300308.SZ,20260427,current_ratio,2.4613,2.4613,0.0,True
300308.SZ,20260428,current_ratio,2.4613,2.4613,0.0,True
300308.SZ,20260429,current_ratio,2.4613,2.4613,0.0,True
300308.SZ,20260430,current_ratio,2.4613,2.4613,0.0,True
300308.SZ,20260424,net_income,6316792027.02,6316792027.02,0.0,True
300308.SZ,20260427,net_income,6316792027.02,6316792027.02,0.0,True
300308.SZ,20260428,net_income,6316792027.02,6316792027.02,0.0,True
300308.SZ,20260429,net_income,6316792027.02,6316792027.02,0.0,True
300308.SZ,20260430,net_income,6316792027.02,6316792027.02,0.0,True
300308.SZ,20260424,revenue,19496398083.95,19496398083.95,0.0,True
300308.SZ,20260427,revenue,19496398083.95,19496398083.95,0.0,True
300308.SZ,20260428,revenue,19496398083.95,19496398083.95,0.0,True
