ts_code,week_rows,week_days,duplicate_rows
000333.SZ,5,5,0
000338.SZ,5,5,0
000651.SZ,5,5,0
000725.SZ,5,5,0
000858.SZ,5,5,0
002371.SZ,5,5,0
002384.SZ,5,5,0
002415.SZ,5,5,0
002463.SZ,5,5,0
002475.SZ,5,5,0
002594.SZ,5,5,0
300059.SZ,5,5,0
300274.SZ,5,5,0
300308.SZ,5,5,0
300394.SZ,5,5,0
300476.SZ,5,5,0
300502.SZ,5,5,0
300750.SZ,5,5,0
600030.SH,5,5,0
600036.SH,5,5,0
600089.SH,5,5,0
600111.SH,5,5,0
600150.SH,5,5,0
600276.SH,5,5,0
600309.SH,5,5,0
600487.SH,5,5,0
600519.SH,5,5,0
600887.SH,5,5,0
600900.SH,5,5,0
600919.SH,5,5,0
601088.SH,5,5,0
601138.SH,5,5,0
601166.SH,5,5,0
601211.SH,5,5,0
601288.SH,5,5,0
601318.SH,5,5,0
601328.SH,5,5,0
601398.SH,5,5,0
601816.SH,5,5,0
601857.SH,5,5,0
601899.SH,5,5,0
603019.SH,5,5,0
603259.SH,5,5,0
603986.SH,5,5,0
603993.SH,5,5,0
688008.SH,5,5,0
688012.SH,5,5,0
688041.SH,5,5,0
688256.SH,5,5,0
688981.SH,5,5,0
