set,trade_date,name,instrument,industry,score,ret,liq_diff,amount_log,rps_60d,price_percentile_252d,ret_60d
high_score_bad_false_positive,2020-12-04,中公教育,002607.SZ,文教休闲,2.13,-0.728,-0.31,19.56,0.529,0.901,0.006
high_score_bad_false_positive,2021-01-25,中公教育,002607.SZ,文教休闲,2.22,-0.728,-0.41,21.01,0.294,0.893,-0.033
high_score_bad_false_positive,2021-01-26,中公教育,002607.SZ,文教休闲,2.4,-0.718,-0.39,20.43,0.084,0.798,-0.142
high_score_bad_false_positive,2020-12-03,中公教育,002607.SZ,文教休闲,2.06,-0.714,-0.31,20.03,0.645,0.881,0.043
high_score_bad_false_positive,2020-12-09,中公教育,002607.SZ,文教休闲,2.03,-0.71,-0.5,19.31,0.724,0.853,0.084
high_score_bad_false_positive,2021-01-22,中公教育,002607.SZ,文教休闲,2.35,-0.707,-0.41,20.7,0.256,0.845,-0.052
high_score_bad_false_positive,2020-12-11,中公教育,002607.SZ,文教休闲,2.01,-0.699,-0.38,19.91,0.718,0.865,0.117
high_score_bad_false_positive,2020-12-02,中公教育,002607.SZ,文教休闲,2.24,-0.697,-0.25,20.01,0.637,0.841,0.042
high_score_bad_false_positive,2020-12-15,中公教育,002607.SZ,文教休闲,1.95,-0.688,-0.42,19.51,0.766,0.901,0.143
high_score_bad_false_positive,2021-01-05,中公教育,002607.SZ,文教休闲,2.53,-0.685,-0.53,20.41,0.626,0.694,0.074
high_score_bad_false_positive,2021-01-04,中公教育,002607.SZ,文教休闲,2.5,-0.684,-0.53,20.43,0.552,0.69,0.053
high_score_bad_false_positive,2020-12-28,中公教育,002607.SZ,文教休闲,1.89,-0.682,-0.51,19.61,0.777,0.871,0.205
high_score_bad_false_positive,2021-01-08,中公教育,002607.SZ,文教休闲,2.57,-0.682,-0.5,20.26,0.308,0.694,-0.055
high_score_bad_false_positive,2020-12-25,中公教育,002607.SZ,文教休闲,2.33,-0.681,-0.26,19.36,0.758,0.861,0.182
