rule,type,trade_date,name,instrument,industry,score,ret,al_rank,pe_rank,pp,rps
R1: pe_rank>0.7,bad_case,2020-12-31,中公教育,002607.SZ,文教休闲,2.4100,-0.6780,1.0000,0.71,0.718,0.573
R1: pe_rank>0.7,bad_case,2021-01-13,中公教育,002607.SZ,文教休闲,2.7100,-0.6650,1.0000,0.754,0.754,0.348
R1: pe_rank>0.7,bad_case,2021-08-04,捷佳伟创,300724.SZ,专用机械,2.6700,-0.6120,1.0000,0.817,0.976,0.914
R1: pe_rank>0.7,bad_case,2021-07-28,兆威机电,003021.SZ,元器件,3.1300,-0.5930,0.8330,0.937,0.285,0.126
R1: pe_rank>0.7,bad_case,2023-02-20,锦江酒店,600754.SH,酒店餐饮,2.8200,-0.5060,1.0000,0.996,0.996,0.932
R1: pe_rank>0.7,big_win,2020-12-03,锦浪科技,300763.SZ,电气设备,1.7700,3.2490,1.0000,0.833,0.833,0.731
R1: pe_rank>0.7,big_win,2025-08-27,天华新能,300390.SZ,电气设备,2.1700,3.2200,0.2500,0.905,0.417,0.571
R1: pe_rank>0.7,big_win,2021-01-29,合盛硅业,603260.SH,化工原料,1.9700,2.7000,1.0000,0.976,0.976,0.881
R1: pe_rank>0.7,big_win,2021-03-24,锦浪科技,300763.SZ,电气设备,2.5900,2.1830,1.0000,0.73,0.718,0.298
R1: pe_rank>0.7,big_win,2025-07-07,天华新能,300390.SZ,电气设备,2.9400,2.1080,0.6670,0.942,0.411,0.356
R2: pb_rank>0.7,bad_case,2021-07-28,兆威机电,003021.SZ,元器件,3.1300,-0.5930,0.8330,0.937,0.285,0.126
R2: pb_rank>0.7,bad_case,2022-08-03,厦钨新能,688778.SH,电气设备,2.4200,-0.5660,1.0000,0.307,0.925,0.993
R2: pb_rank>0.7,bad_case,2022-07-21,厦钨新能,688778.SH,电气设备,2.1500,-0.5540,0.6670,0.323,1.0,0.999
R2: pb_rank>0.7,bad_case,2021-07-08,科沃斯,603486.SH,家用电器,2.5300,-0.5470,1.0000,0.421,0.992,0.967
R2: pb_rank>0.7,bad_case,2021-06-29,科沃斯,603486.SH,家用电器,3.0300,-0.5120,0.6670,0.413,0.996,0.954
R2: pb_rank>0.7,big_win,2020-12-03,锦浪科技,300763.SZ,电气设备,1.7700,3.2490,1.0000,0.833,0.833,0.731
R2: pb_rank>0.7,big_win,2021-01-29,合盛硅业,603260.SH,化工原料,1.9700,2.7000,1.0000,0.976,0.976,0.881
R2: pb_rank>0.7,big_win,2021-11-24,九安医疗,002432.SZ,医疗保健,2.7600,2.4230,0.5000,0.556,1.0,0.993
R2: pb_rank>0.7,big_win,2025-08-06,天赐材料,002709.SZ,化工原料,3.1300,2.0810,1.0000,0.978,0.708,0.567
R2: pb_rank>0.7,big_win,2021-04-09,长川科技,300604.SZ,半导体,2.1200,1.7380,0.5000,0.877,0.877,0.666
R3: pp>0.7,bad_case,2020-12-31,中公教育,002607.SZ,文教休闲,2.4100,-0.6780,1.0000,0.71,0.718,0.573
R3: pp>0.7,bad_case,2021-01-13,中公教育,002607.SZ,文教休闲,2.7100,-0.6650,1.0000,0.754,0.754,0.348
R3: pp>0.7,bad_case,2021-08-04,捷佳伟创,300724.SZ,专用机械,2.6700,-0.6120,1.0000,0.817,0.976,0.914
R3: pp>0.7,bad_case,2022-08-03,厦钨新能,688778.SH,电气设备,2.4200,-0.5660,1.0000,0.307,0.925,0.993
R3: pp>0.7,bad_case,2022-07-21,厦钨新能,688778.SH,电气设备,2.1500,-0.5540,0.6670,0.323,1.0,0.999
R3: pp>0.7,big_win,2024-11-01,长盛轴承,300718.SZ,机械基件,2.9300,4.5750,0.7500,0.464,0.716,0.763
R3: pp>0.7,big_win,2020-12-03,锦浪科技,300763.SZ,电气设备,1.7700,3.2490,1.0000,0.833,0.833,0.731
R3: pp>0.7,big_win,2021-01-29,合盛硅业,603260.SH,化工原料,1.9700,2.7000,1.0000,0.976,0.976,0.881
R3: pp>0.7,big_win,2021-11-24,九安医疗,002432.SZ,医疗保健,2.7600,2.4230,0.5000,0.556,1.0,0.993
