trade_date,instrument,name,industry,score,score_rank_pct,label_value,amount_log,rps_60d,ret_60d,ret_120d,price_percentile_252d,pe_rank_252d,pb_rank_252d,trend_smoothness_60d,industry_ret_20d,industry_ret_60d,industry_ret_120d,industry_breadth_20d,industry_breadth_60d,industry_volume_expansion,stock_minus_industry_ret_20d,stock_minus_industry_ret_60d,industry_top_stock_momentum,type
2020-12-11,000009.SZ,中国宝安,电气设备,1.2452,0.8667,2.1693,19.2292,0.5165,0.0163,-0.0691,0.3294,0.1270,0.0794,0.0164,0.0017,0.0032,0.0030,0.4757,0.4981,1.0995,-0.1404,-0.1897,0.1104,missed
2021-01-26,000009.SZ,中国宝安,电气设备,0.8576,0.6222,2.0258,19.8627,0.1875,-0.0788,-0.1481,0.3373,0.1448,0.0397,-0.0708,0.0036,0.0042,0.0029,0.5125,0.5144,1.6744,-0.1030,-0.3652,0.1268,missed
2021-02-09,000009.SZ,中国宝安,电气设备,1.2483,0.6471,1.2992,20.2610,0.5966,0.0345,0.0100,0.8373,0.6230,0.3968,0.0299,0.0012,0.0037,0.0027,0.4977,0.5100,1.4878,0.1036,-0.2219,0.1379,missed
2022-05-23,000032.SZ,深桑达Ａ,建筑工程,0.7818,0.7059,1.0026,17.9002,0.0120,-0.4135,-0.2269,0.0714,0.0714,0.3690,-0.3261,0.0022,-0.0013,0.0009,0.5233,0.4622,1.2231,-0.1896,-0.3283,0.0258,missed
2022-06-24,000032.SZ,深桑达Ａ,建筑工程,0.6339,0.5500,1.2265,18.3918,0.0863,-0.1769,-0.2189,0.1329,0.1329,0.3591,-0.1504,-0.0005,0.0007,-0.0003,0.4333,0.4800,1.1445,0.1668,-0.2009,0.0254,missed
2022-07-28,000032.SZ,深桑达Ａ,建筑工程,1.1607,0.8222,1.1659,17.6433,0.6111,0.1299,-0.3141,0.2063,0.2063,0.3373,0.1386,-0.0013,-0.0003,-0.0004,0.4433,0.4571,0.8538,0.0495,0.1501,0.0288,missed
2022-09-29,000032.SZ,深桑达Ａ,建筑工程,3.3140,0.9756,1.7158,16.8426,0.2878,-0.1680,-0.3059,0.0040,0.0040,0.0040,-0.1420,-0.0041,-0.0020,-0.0011,0.4033,0.4348,1.2028,-0.0352,-0.0465,0.0143,missed
2022-10-11,000032.SZ,深桑达Ａ,建筑工程,3.5240,0.9432,1.8118,16.4870,0.2913,-0.1821,-0.3005,0.0040,0.0040,0.0040,-0.1603,-0.0042,-0.0022,-0.0012,0.3833,0.4293,1.2401,-0.0145,-0.0516,0.0132,missed
2022-07-06,000034.SZ,神州数码,软件服务,0.4440,0.5161,1.0717,18.7523,0.5902,0.0411,-0.0600,0.2837,0.9167,0.1786,0.0366,-0.0014,-0.0000,-0.0018,0.4736,0.4980,1.3677,-0.0109,0.0668,0.0156,missed
2024-06-19,000034.SZ,神州数码,软件服务,1.3469,0.8421,1.0240,20.3408,0.0493,-0.2687,-0.2314,0.0278,0.0040,0.0198,-0.2182,-0.0036,-0.0029,-0.0019,0.4390,0.4340,0.8102,-0.1457,-0.0914,0.0331,missed
2023-12-29,000062.SZ,深圳华强,元器件,1.8681,0.9333,1.4214,17.2804,0.7009,0.0054,-0.0140,0.1667,0.1667,0.1131,0.0086,0.0002,0.0011,-0.0001,0.4611,0.4712,0.7779,-0.0431,-0.0491,0.0610,missed
2024-01-10,000062.SZ,深圳华强,元器件,2.0135,1.0000,1.5391,17.4300,0.4791,-0.0792,-0.0951,0.0040,0.0040,0.0040,-0.1264,-0.0052,-0.0011,-0.0011,0.3411,0.4282,0.8056,0.0048,-0.0019,0.0587,missed
2024-02-08,000062.SZ,深圳华强,元器件,1.8061,0.9508,2.7966,18.3173,0.1838,-0.2190,-0.1897,0.0238,0.0238,0.0238,-0.2185,-0.0043,-0.0035,-0.0009,0.3889,0.3986,1.0510,-0.0439,-0.0172,0.0370,missed
