trade_date,year,n_scored,top5,edgeA_60,edgeB_60,edgeA_180,edgeB_180,n_fwd180,n_gt20,n_gt50,n_gt100
2021-01-04,2021,670,"['002851.SZ', '000739.SZ', '002402.SZ', '603920.SH', '603486.SH']",8.13247322295692,9.719532109932825,3.5012883577668323,20.026567736679528,5.0,2.0,2.0,0.0
2021-02-01,2021,674,"['300748.SZ', '300487.SZ', '002851.SZ', '603659.SH', '002126.SZ']",-4.459874570373242,2.0071378374097297,17.35275654901825,37.547241943273654,5.0,2.0,2.0,0.0
2021-03-08,2021,675,"['600600.SH', '600066.SH', '000739.SZ', '300487.SZ', '603606.SH']",7.959227013659914,10.428492407024114,43.69242125874215,64.3209175302857,5.0,4.0,3.0,2.0
2021-04-06,2021,677,"['300748.SZ', '603939.SH', '300450.SZ', '603650.SH', '002851.SZ']",-13.78929712104649,-8.15093003666025,-16.321032381067806,2.7059284557450236,5.0,2.0,0.0,0.0
2021-05-07,2021,679,"['603650.SH', '603298.SH', '300748.SZ', '600031.SH', '603606.SH']",17.00456850267622,27.328323559263595,13.399782723010162,27.9397965079567,5.0,1.0,1.0,1.0
2021-06-04,2021,683,"['003021.SZ', '603786.SH', '605117.SH', '300570.SZ', '300803.SZ']",36.66562463491045,50.716007466235226,53.387836148639366,70.52849519022311,5.0,1.0,1.0,1.0
2021-07-05,2021,688,"['003021.SZ', '603786.SH', '600995.SH', '300570.SZ', '603486.SH']",-19.09857384275739,-10.604940657344164,-2.9432259814149866,9.617155135795182,5.0,1.0,1.0,0.0
2021-08-02,2021,689,"['002984.SZ', '003021.SZ', '600995.SH', '600601.SH', '688278.SH']",27.623176592619124,31.553661514127047,8.550826637544688,15.587021920434053,4.0,1.0,1.0,0.0
2021-08-30,2021,695,"['003031.SZ', '688278.SH', '603486.SH', '300857.SZ', '300763.SZ']",-0.9238642984199442,2.405612884470887,-8.555445627197978,-3.5305282029823526,5.0,0.0,0.0,0.0
2021-09-29,2021,697,"['600601.SH', '003031.SZ', '603893.SH', '003021.SZ', '300570.SZ']",12.035758409841097,16.749904760201563,-1.7981700670518637,1.4174325629531872,5.0,1.0,0.0,0.0
2021-11-03,2021,698,"['600601.SH', '300857.SZ', '605358.SH', '002850.SZ', '688099.SH']",2.161154429412702,4.700897818780196,-15.130089695037107,-9.136479541115483,5.0,0.0,0.0,0.0
2021-12-01,2021,699,"['300857.SZ', '002738.SZ', '600601.SH', '605358.SH', '603893.SH']",5.945495603474391,7.715335390755025,-4.6061836404277505,-1.377045886781139,5.0,1.0,1.0,0.0
2021-12-29,2021,703,"['603893.SH', '002738.SZ', '002850.SZ', '003031.SZ', '605358.SH']",7.140112693631136,8.201084151478295,2.9792771616007157,6.15706417772898,5.0,1.0,1.0,0.0
2022-01-27,2022,707,"['300857.SZ', '002738.SZ', '603290.SH', '603920.SH', '002850.SZ']",0.12197648712216624,0.6707661054333319,2.460717939192346,11.584957200528205,5.0,1.0,0.0,0.0
2022-03-03,2022,708,"['003031.SZ', '300857.SZ', '002738.SZ', '603920.SH', '600995.SH']",-7.011543186646239,-7.050688778865377,-3.6832894668945113,2.0922491919799557,5.0,0.0,0.0,0.0
2022-03-31,2022,710,"['603920.SH', '002837.SZ', '003031.SZ', '302132.SZ', '300857.SZ']",-18.07587165318595,-19.836948061860493,-9.045161168542439,-4.91074372656157,5.0,0.0,0.0,0.0
