phase,tag,total_ret,cagr,maxdd,sharpe,total_pnl,turnover,orders,n_episodes,ret_excl_top1,pnl_share_top1,ret_excl_top3,pnl_share_top3,ret_excl_top5,pnl_share_top5,recon_gap
p0,ens3,6.762897170465435,0.444852791509196,-0.41559742563525337,1.0995626855853666,67628971.70465435,2286430618.23,421,212,4.971280321801851,0.2649185293893916,3.2896873764574215,0.5135683170407834,1.8251066573264123,0.7301294567734778,-0.7585220485925674
p0,ens5,5.01673425796325,0.3802304187279433,-0.46021867259448324,0.985004469156496,50167342.579632506,1958579130.56,393,198,3.463335304222074,0.3096434362065815,1.9787477050169064,0.6055705319758311,0.7103324755549592,0.8584073704925502,-1.195701614022255
p0,single,11.741300859628378,0.5793040431035128,-0.40411630583210323,1.3312429236631433,117413008.59628378,3754701816.15,433,218,8.660411789268947,0.2623975812944904,5.705284588116658,0.5140841053416919,3.115901738968825,0.7346203883400471,-1.2354202419519424
p10,ens3,7.677778924994561,0.4740498147624015,-0.3943425692462068,1.1519832999591677,76777789.24994561,3633506082.21,428,216,5.652720056234202,0.2637558331778771,2.8855369871277183,0.6241703614079203,2.545710311595572,0.6684314268608288,1.0855712592601776
p10,ens5,8.976288421745739,0.5114268454175359,-0.40280759491842266,1.2268679179662427,89762884.2174574,4152382708.46,432,218,7.356601295093629,0.18044064284864017,4.546143822966652,0.49353858935829464,4.267066332004853,0.5246291111697053,1.2656249552965164
p10,single,10.4791477586374,0.5499953047943407,-0.36498099530493433,1.280441171146362,104791477.58637398,4254186819.76,468,236,7.01331562739853,0.33073607912755504,4.1631084167049215,0.6027245343284409,4.2198113813845035,0.5973135060668301,1.1105117350816727
p15,ens3,3.5826855768248143,0.3143736107142443,-0.44850171273024997,0.8815608391564566,35826855.76824814,1729517061.88,424,214,2.83344711630216,0.20912759546519424,1.7528456922932256,0.5107453067706408,1.7109745736470927,0.5224323827778079,-0.4053344950079918
p15,ens5,4.713948193597566,0.36749192466494995,-0.43193226283290687,0.9812160524133564,47139481.935975656,2142596175.69,430,217,3.8563592099296526,0.18192582835639,2.5220236469684405,0.46498697119489046,1.4760897813707095,0.68686761617489,-0.5371856838464737
p15,single,3.174456773856436,0.2925356962356538,-0.4912436526276954,0.8163486570763018,31744567.738564357,1882957794.32,447,225,2.314631875740495,0.27085731579863975,1.1996953483406587,0.6220785189292073,1.093941941856725,0.6553923782814204,-0.5723037645220757
p5,ens3,6.23666532614545,0.4267545909765711,-0.4017948959654195,0.9915247205801503,62366653.26145449,2658210898.28,430,217,4.759654879531429,0.23682695464030729,2.427207911199675,0.6108163939250533,0.9232580759530751,0.8519628650915784,0.09687802940607071
p5,ens5,5.651631498717083,0.4053195329641257,-0.4297878977960434,0.9988975630364131,56516314.98717083,2533969532.1,415,209,4.215554374351784,0.25409957132584116,2.0479543408317658,0.6376348449918726,2.1419064349599086,0.6210109560936896,0.16750334948301315
p5,single,6.677068715870644,0.4419710909482557,-0.3545547818167485,1.0622998655937952,66770687.15870644,2710891220.9,453,228,5.442734346731623,0.18486171491366768,3.0735403929807976,0.5396871711980276,3.1452105075641423,0.5289534019898429,0.04273226857185364
