trade_date,instrument,rank_min,rank_max,rank_mean,rank_std,rank_range,contested,top_zone
2021-01-04,000001.SZ,371,565,493.6,77.80295624203492,194,False,False
2021-01-04,000002.SZ,322,404,357.0,31.064449134018133,82,False,False
2021-01-04,000009.SZ,231,373,333.4,58.65833274139319,142,False,False
2021-01-04,000021.SZ,96,166,127.0,25.45584412271571,70,False,False
2021-01-04,000027.SZ,499,594,523.8,39.75801805925441,95,False,False
2021-01-04,000032.SZ,18,37,24.6,7.536577472566709,19,True,False
2021-01-04,000034.SZ,115,145,132.8,12.00833044182246,30,False,False
2021-01-04,000039.SZ,273,407,334.4,60.62425257271218,134,False,False
2021-01-04,000050.SZ,496,610,556.0,42.85440467443224,114,False,False
2021-01-04,000060.SZ,261,459,371.6,71.54578953369652,198,False,False
2021-01-04,000062.SZ,226,471,355.0,97.31906288081488,245,False,False
2021-01-04,000063.SZ,301,402,342.2,41.535526961867234,101,False,False
2021-01-04,000088.SZ,380,550,439.4,71.741201551131,170,False,False
2021-01-04,000100.SZ,395,466,434.0,29.478805945967352,71,False,False
2021-01-04,000155.SZ,209,401,320.8,75.93549894482817,192,False,False
2021-01-04,000157.SZ,187,330,266.2,59.61711163751561,143,False,False
2021-01-04,000166.SZ,491,560,524.8,25.489213404889526,69,False,False
2021-01-04,000301.SZ,151,235,194.0,32.32645975048923,84,False,False
2021-01-04,000333.SZ,182,298,229.0,45.14421336118285,116,False,False
2021-01-04,000338.SZ,228,328,298.6,41.57884077268148,100,False,False
2021-01-04,000400.SZ,33,42,35.8,3.63318042491699,9,False,False
2021-01-04,000408.SZ,391,514,462.6,47.63717036096918,123,False,False
2021-01-04,000415.SZ,346,442,383.2,39.90864567985238,96,False,False
2021-01-04,000423.SZ,243,401,313.0,63.96483408873973,158,False,False
2021-01-04,000425.SZ,379,455,415.2,34.098387058627864,76,False,False
2021-01-04,000429.SZ,418,593,540.4,73.15599770353761,175,False,False
2021-01-04,000513.SZ,103,119,112.2,6.418722614352485,16,False,False
2021-01-04,000519.SZ,159,262,231.8,41.73367944478416,103,False,False
2021-01-04,000528.SZ,382,465,422.2,33.47685767810354,83,False,False
2021-01-04,000537.SZ,530,582,566.0,20.97617696340303,52,False,False
2021-01-04,000538.SZ,275,342,315.6,33.15569332708939,67,False,False
2021-01-04,000539.SZ,541,583,558.6,15.773395322504282,42,False,False
2021-01-04,000559.SZ,217,294,255.6,34.760609891082176,77,False,False
2021-01-04,000568.SZ,288,449,362.0,58.65151319446072,161,False,False
2021-01-04,000582.SZ,413,523,467.4,40.389355033226266,110,False,False
2021-01-04,000591.SZ,547,641,594.0,35.67211796347394,94,False,False
2021-01-04,000596.SZ,93,174,125.2,31.53886491299267,81,False,False
2021-01-04,000598.SZ,503,586,541.2,39.00897332665908,83,False,False
2021-01-04,000617.SZ,604,633,618.0,11.937336386313323,29,False,False
2021-01-04,000623.SZ,443,502,471.4,22.210357943986402,59,False,False
2021-01-04,000625.SZ,65,117,86.6,19.2171798139061,52,False,False
2021-01-04,000629.SZ,169,267,197.6,40.034984700883804,98,False,False
2021-01-04,000630.SZ,354,433,391.2,28.891175123210203,79,False,False
2021-01-04,000651.SZ,350,469,424.2,49.07341439109368,119,False,False
2021-01-04,000657.SZ,518,615,561.4,35.83015489779524,97,False,False
2021-01-04,000661.SZ,24,44,33.2,7.12039324756716,20,False,False
2021-01-04,000683.SZ,111,195,164.6,35.500704218367275,84,False,False
2021-01-04,000703.SZ,617,640,628.6,8.619744775803978,23,False,False
2021-01-04,000708.SZ,206,323,255.4,44.10555520566542,117,False,False
2021-01-04,000709.SZ,356,503,441.0,53.58637886627534,147,False,False
2021-01-04,000723.SZ,48,116,76.2,25.163465580082566,68,False,False
2021-01-04,000725.SZ,420,595,520.4,63.18860656795654,175,False,False
2021-01-04,000728.SZ,415,473,440.6,24.99599967994879,58,False,False
2021-01-04,000729.SZ,314,398,368.8,39.9899987496874,84,False,False
2021-01-04,000733.SZ,645,669,660.0,9.246621004453464,24,False,False
2021-01-04,000738.SZ,295,381,344.0,36.932370625238775,86,False,False
2021-01-04,000739.SZ,2,7,3.6,1.9493588689617927,5,True,True
2021-01-04,000750.SZ,546,576,565.2,12.070625501605125,30,False,False
2021-01-04,000768.SZ,618,658,632.0,16.688319268278637,40,False,False
2021-01-04,000776.SZ,613,643,626.6,10.830512453249845,30,False,False
2021-01-04,000783.SZ,241,296,263.4,24.357750306627253,55,False,False
2021-01-04,000785.SZ,146,253,201.0,48.05725751642513,107,False,False
2021-01-04,000786.SZ,472,558,506.8,38.62253228362946,86,False,False
2021-01-04,000792.SZ,376,450,422.0,28.731515797117282,74,False,False
2021-01-04,000807.SZ,176,279,214.4,46.57574476055106,103,False,False
2021-01-04,000825.SZ,457,524,489.6,27.272696969680137,67,False,False
2021-01-04,000830.SZ,178,238,211.0,30.528675044947494,60,False,False
2021-01-04,000831.SZ,92,209,136.0,49.076470940767535,117,False,False
2021-01-04,000858.SZ,384,448,413.4,29.11700534052223,64,False,False
2021-01-04,000878.SZ,269,318,286.4,20.007498594277095,49,False,False
2021-01-04,000883.SZ,424,581,527.4,62.91502205356047,157,False,False
2021-01-04,000887.SZ,63,132,86.2,27.096125184239906,69,False,False
2021-01-04,000893.SZ,116,155,135.6,15.323185047502363,39,False,False
2021-01-04,000895.SZ,247,485,346.0,88.77218032694702,238,False,False
2021-01-04,000898.SZ,264,368,312.4,38.68849958320948,104,False,False
2021-01-04,000921.SZ,51,65,59.8,5.805170109479997,14,False,False
2021-01-04,000932.SZ,426,487,454.8,22.90633100258529,61,False,False
2021-01-04,000937.SZ,391,494,435.4,38.55256152319843,103,False,False
2021-01-04,000938.SZ,252,393,302.0,60.848171706305195,141,False,False
2021-01-04,000951.SZ,152,248,208.8,39.002564018279614,96,False,False
2021-01-04,000959.SZ,478,548,507.4,26.2449995237188,70,False,False
2021-01-04,000960.SZ,436,541,467.4,42.25281055740553,105,False,False
2021-01-04,000963.SZ,288,404,340.4,45.93800169794067,116,False,False
2021-01-04,000967.SZ,293,390,352.8,45.51043836308325,97,False,False
2021-01-04,000975.SZ,288,357,321.2,29.388773366712673,69,False,False
2021-01-04,000977.SZ,430,485,462.2,24.159884105682295,55,False,False
2021-01-04,000983.SZ,292,353,333.6,25.481365740477884,61,False,False
2021-01-04,000987.SZ,571,598,581.2,10.084641788382967,27,False,False
2021-01-04,000997.SZ,120,202,168.0,31.614869919074472,82,False,False
2021-01-04,000999.SZ,121,192,159.0,26.832815729997478,71,False,False
