phase,tag,n_cohorts,n_gt50_180,n_gt100_180,top5fwd180_med,edgeA60_med,edgeA60_pos,edgeB60_med,edgeB60_pos,edgeA180_med,edgeA180_pos,edgeB180_med,edgeB180_pos
p0,single,68,73,46,,8.152296558861988,0.696969696969697,8.431594490823613,0.7424242424242424,19.656063285112268,0.7166666666666667,28.017187911115876,0.85
p0,ens3,68,77,52,,6.935475240800207,0.6818181818181818,9.693300864425877,0.7424242424242424,14.638358709106317,0.6666666666666666,23.492160512750928,0.7833333333333333
p0,ens5,68,76,51,,7.605585918042093,0.6818181818181818,9.848243167549654,0.7424242424242424,19.057153069876207,0.65,26.428046523120944,0.75
p5,single,68,79,49,,5.621682256166015,0.6461538461538462,6.532926442533456,0.7538461538461538,15.731535047608226,0.6949152542372882,23.330978365080675,0.7966101694915254
p5,ens3,68,82,52,,6.305030869306766,0.7230769230769231,8.44121129204325,0.8,18.220508907608885,0.7627118644067796,25.95949709740954,0.8305084745762712
p5,ens5,68,85,53,,7.205643400205972,0.7384615384615385,9.779509070510636,0.7846153846153846,18.220508907608885,0.7796610169491526,27.427851688843536,0.8135593220338984
p10,single,68,70,40,,5.834344000508754,0.7230769230769231,7.581426327002882,0.7538461538461538,10.331538604547882,0.6949152542372882,20.05593974920221,0.7796610169491526
p10,ens3,68,81,48,,6.7704768486208575,0.7846153846153846,8.17408526445239,0.8,12.826751398456551,0.7627118644067796,23.649792660888025,0.864406779661017
p10,ens5,68,78,45,,6.203574493709096,0.7692307692307693,7.651168794860499,0.7846153846153846,17.41799746646718,0.7457627118644068,23.649792660888025,0.847457627118644
p15,single,67,80,52,,6.969886480166286,0.6923076923076923,9.742431014298388,0.7692307692307693,17.783388562734455,0.7288135593220338,26.05719592873764,0.8135593220338984
p15,ens3,67,90,61,,6.258553980435787,0.7076923076923077,9.569008728054868,0.7538461538461538,18.207541051046054,0.7627118644067796,25.94721842369526,0.7966101694915254
p15,ens5,67,87,56,,6.713458975271925,0.7692307692307693,10.246927281116697,0.7692307692307693,18.207541051046054,0.7288135593220338,23.830184079845175,0.7966101694915254
