phase,retrain_day,mean_pair_jaccard,min_pair_jaccard,top5_union_size,n_exact_agree,distinct_in_any_top5
p0,2021-01-04,0.3849206349206349,0.1111111111111111,10,0,10
p0,2021-02-01,0.5476190476190477,0.42857142857142855,9,0,9
p0,2021-03-08,0.41071428571428575,0.25,9,0,9
p0,2021-04-06,0.31349206349206343,0.1111111111111111,11,0,11
p0,2021-05-07,0.4658730158730159,0.1111111111111111,10,0,10
p0,2021-06-04,0.41666666666666663,0.25,11,0,11
p0,2021-07-05,0.6285714285714287,0.42857142857142855,8,0,8
p0,2021-08-02,0.6523809523809524,0.42857142857142855,8,0,8
p0,2021-08-30,0.30753968253968256,0.1111111111111111,12,0,12
p0,2021-09-29,0.6285714285714287,0.42857142857142855,8,0,8
p0,2021-11-03,0.4821428571428571,0.25,11,0,11
p0,2021-12-01,0.39285714285714285,0.25,10,0,10
p0,2021-12-29,0.6523809523809524,0.42857142857142855,8,0,8
