phase,trade_date,instrument,fwd180,rank_single,rank_ens3,rank_ens5,rank_s42,rank_s7,rank_s77,rank_s123,rank_s456
p0,2021-01-04,000009.SZ,1.3080872913992296,341,369,335,341,373,369,353,231
p0,2021-01-04,000155.SZ,2.133022170361727,356,351,315,356,401,281,357,209
p0,2021-01-04,000301.SZ,1.8524945770065075,194,175,190,194,151,177,235,213
p0,2021-01-04,000408.SZ,2.077117572692794,452,453,467,452,391,514,497,459
p0,2021-01-04,000519.SZ,0.8132820019249276,251,255,236,251,251,262,159,236
p0,2021-01-04,000537.SZ,1.4232026143790848,566,579,573,566,582,578,530,574
p0,2021-01-04,000591.SZ,0.53375,614,587,595,614,578,547,641,590
p0,2021-01-04,000629.SZ,1.0499999999999998,267,204,191,267,169,195,174,183
p0,2021-01-04,000683.SZ,3.087962962962963,195,187,167,195,182,189,111,146
p0,2021-01-04,000723.SZ,0.5079365079365079,116,71,68,116,75,48,78,64
p0,2021-01-04,000733.SZ,0.55331088664422,645,656,664,645,660,660,669,666
p0,2021-01-04,000739.SZ,0.6083226083226085,3,2,2,3,3,2,7,3
p0,2021-01-04,000807.SZ,0.8891752577319589,279,211,215,279,176,192,177,248
p0,2021-01-04,000825.SZ,1.7142857142857144,457,476,493,457,467,499,524,501
p0,2021-01-04,000831.SZ,1.6924167257264355,92,123,131,92,209,99,118,162
p0,2021-01-04,000883.SZ,0.5607235142118863,424,523,531,424,549,568,515,581
p0,2021-01-04,000893.SZ,1.1760391198044013,125,137,135,125,143,155,139,116
p0,2021-01-04,000898.SZ,0.5179153094462543,328,292,303,328,264,306,296,368
p0,2021-01-04,000937.SZ,0.9523809523809521,494,451,436,494,438,413,441,391
p0,2021-01-04,000959.SZ,0.87434554973822,478,521,508,478,548,515,500,496
p0,2021-01-04,000960.SZ,0.6225108225108222,453,446,472,453,445,436,541,462
p0,2021-01-04,000983.SZ,0.9421768707482994,352,340,339,352,353,292,327,344
p0,2021-01-04,002028.SZ,0.9010516252390057,106,96,81,106,103,87,85,67
p0,2021-01-04,002203.SZ,0.5100401606425702,557,566,565,557,559,573,539,571
p0,2021-01-04,002266.SZ,0.7069351230425056,401,413,414,401,402,438,457,353
p0,2021-01-04,002312.SZ,1.262237762237762,368,357,312,368,265,445,267,276
p0,2021-01-04,002371.SZ,0.8791180285343709,75,61,69,75,56,52,103,89
p0,2021-01-04,002466.SZ,1.2857142857142856,601,639,628,601,661,611,582,628
p0,2021-01-04,002472.SZ,1.8392621870882744,231,259,258,231,226,352,269,238
p0,2021-01-04,002738.SZ,0.9173313995649024,299,289,262,299,311,260,251,193
p0,2021-01-04,003022.SZ,2.278260869565217,98,86,75,98,70,118,94,48
p0,2021-01-04,300142.SZ,0.616187989556136,89,157,161,89,178,199,196,148
p0,2021-01-04,300274.SZ,0.8850236603146182,232,299,305,232,363,326,317,328
p0,2021-01-04,300316.SZ,0.9798761609907123,95,80,76,95,77,91,77,78
p0,2021-01-04,300339.SZ,1.7904858299595139,230,168,164,230,124,141,163,149
p0,2021-01-04,300390.SZ,2.503184713375796,480,556,545,480,505,642,507,528
p0,2021-01-04,300432.SZ,2.3551912568306013,185,190,163,185,125,265,101,139
p0,2021-01-04,300458.SZ,1.0766412213740462,200,163,152,200,159,112,128,144
p0,2021-01-04,300474.SZ,0.6412969746303081,214,176,182,214,165,150,195,188
p0,2021-01-04,300627.SZ,0.8495689655172414,30,21,16,30,25,16,16,13
p0,2021-01-04,300759.SZ,0.7685950413223142,77,92,87,77,72,164,92,83
p0,2021-01-04,300763.SZ,0.6033222591362126,165,179,171,165,257,124,162,152
p0,2021-01-04,300919.SZ,0.5478632478632479,652,612,610,652,606,569,579,620
p0,2021-01-04,600010.SH,1.6101694915254239,495,455,475,495,444,423,474,516
p0,2021-01-04,600011.SH,0.7555555555555555,334,280,286,334,267,244,315,281
p0,2021-01-04,600021.SH,0.6990154711673697,571,531,538,571,508,503,597,507
p0,2021-01-04,600025.SH,0.7360178970917226,605,616,615,605,624,609,623,595
p0,2021-01-04,600039.SH,0.8150537634408599,484,509,488,484,500,536,503,394
p0,2021-01-04,600089.SH,1.2000000000000002,625,626,618,625,603,633,596,607
p0,2021-01-04,600111.SH,2.081784386617101,283,290,265,283,299,302,266,192
p0,2021-01-04,600141.SH,2.6272241992882566,409,444,438,409,493,421,444,421
p0,2021-01-04,600160.SH,0.735688185140073,339,288,283,339,278,263,287,270
p0,2021-01-04,600171.SH,1.278011204481793,41,27,31,41,23,19,52,32
