feature_name,canonical_name,source_layer,group_name,idea_family,alias_of,supports_snapshot,description,tags,action,notes
circ_mv,circ_mv,raw,fundamental,,,True,Native market or fundamental field: circ_mv,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
current_ratio,current_ratio,raw,fundamental,,,True,Native market or fundamental field: current_ratio,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
debt_to_assets,debt_to_assets,raw,fundamental,,,True,Native market or fundamental field: debt_to_assets,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
equity,equity,raw,fundamental,,,True,Native market or fundamental field: equity,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
grossprofit_margin,grossprofit_margin,raw,fundamental,,,True,Native market or fundamental field: grossprofit_margin,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
net_income,net_income,raw,fundamental,,,True,Native market or fundamental field: net_income,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
op_cashflow,op_cashflow,raw,fundamental,,,True,Native market or fundamental field: op_cashflow,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
pb,pb,raw,fundamental,,,True,Native market or fundamental field: pb,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
pe,pe,raw,fundamental,,,True,Native market or fundamental field: pe,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
revenue,revenue,raw,fundamental,,,True,Native market or fundamental field: revenue,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
total_assets,total_assets,raw,fundamental,,,True,Native market or fundamental field: total_assets,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
total_mv,total_mv,raw,fundamental,,,True,Native market or fundamental field: total_mv,"adapter_field,feature_set:alpha158_extended,feature_set:margin_extended,feature_set:research_phase1,feature_set:research_phase12,feature_set:research_phase123,feature_set:semantic_all_features,model:qlib_lgbm_semantic_all_features,research_ui",investigate,
ar_yoy,ar_yoy,semantic_derived,fundamental_context,,,True,fundamental_context feature: ar_yoy,"fundamental_context,research_ui,selection:qlib_lgbm_semantic_all_features,semantic",investigate,
debt_to_asset,debt_to_asset,semantic_derived,fundamental_context,,,True,fundamental_context feature: debt_to_asset,"feature_set:semantic_all_features,fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,selection:qlib_lgbm_semantic_all_features,semantic",investigate,
float_mktcap,float_mktcap,semantic_derived,fundamental_context,,,True,fundamental_context feature: float_mktcap,"feature_set:semantic_all_features,fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,selection:qlib_lgbm_semantic_all_features,semantic",investigate,
gross_margin,gross_margin,semantic_derived,fundamental_context,,,True,fundamental_context feature: gross_margin,"feature_set:semantic_all_features,fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,selection:qlib_lgbm_semantic_all_features,semantic",investigate,
inventory_yoy,inventory_yoy,semantic_derived,fundamental_context,,,True,fundamental_context feature: inventory_yoy,"fundamental_context,research_ui,selection:qlib_lgbm_semantic_all_features,semantic",investigate,
log_mktcap,log_mktcap,semantic_derived,fundamental_context,,,True,fundamental_context feature: log_mktcap,"feature_set:semantic_all_features,fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,selection:qlib_lgbm_semantic_all_features,semantic",investigate,
